id,city,latitude,longitude
1,charlottental,49.483333,12.633333
2,charlottental,54.333333,10.366667
3,charlottenthal,49.483333,12.633333
4,charlottenthal,54.333333,10.366667
5,charlottenthal,53.683333,12.266667
6,cheinitz,52.7,11.25
7,chemnitz,53.583333,13.15
8,chemnitz,50.833333,12.916667
9,chossewitz,52.1,14.433333
10,chrieschwitz,50.516667,12.166667
11,christanz,49.833333,11.416667
12,wiesenthal,50.7,10.166667
13,wiesthal,50.033333,9.433333
14,wildenthal,50.45,12.633333
15,wilhelminenthal,52.5,12.3
16,wilhelminenthal,53.883333,13.3
17,wilhelmsthal,50.3,11.366667
18,wilhelmsthal,51.2,7.3
19,winnenthal,51.616667,6.483333
20,wirmsthal,50.15,10.066667
